id,type,src,dst,app,latency,message,ctime,size,buffer
9922,LINK,2,100,14,1.000035103664,M.USER.APP.14,63229.000058506106,4387958,1
9913,LINK,4,2,14,5.00003639164,14_(76-80),63232.78498786246,2729373,0
9913,LINK,2,100,14,1.000021834984,14_(76-80),63237.7850242541,2729373,0
9917,LINK,7,17,3,5.000057133226667,3_(12-13),63247.82731630639,4284992,0
9917,LINK,7,2,3,5.000034690933333,3_(12-14),63247.82731630639,2601820,1
9917,LINK,7,2,3,5.000038559786667,3_(12-15),63247.82731630639,2891984,2
9917,LINK,7,2,3,5.000022498733333,3_(12-16),63247.82731630639,1687405,3
9917,LINK,7,2,3,5.00003735084,3_(12-20),63247.82731630639,2801313,4
9923,LINK,24,5,13,5.00002695276,M.USER.APP.13,63249,2021457,5
9924,LINK,97,41,1,5.000036175413333,M.USER.APP.1,63249,2713156,6
9917,LINK,2,100,3,1.00002081456,3_(12-14),63252.82735099733,2601820,6
9923,LINK,5,2,13,5.00002695276,M.USER.APP.13,63254.00002695276,2021457,4
9924,LINK,41,2,1,5.000036175413333,M.USER.APP.1,63254.000036175414,2713156,4
9925,LINK,20,2,0,5.00004439524,M.USER.APP.0,63256,3329643,5
9917,LINK,2,100,3,1.000023135872,3_(12-15),63257.82738955712,2891984,5
9923,LINK,2,100,13,1.000016171656,M.USER.APP.13,63259.00005390552,2021457,4
9924,LINK,2,100,1,1.000021705248,M.USER.APP.1,63259.00007235083,2713156,4
9925,LINK,2,100,0,1.000026637144,M.USER.APP.0,63261.00004439524,3329643,3
9917,LINK,2,100,3,1.00001349924,3_(12-16),63262.82741205585,1687405,1
9926,LINK,55,2,7,5.000055566026667,M.USER.APP.7,63267,4167452,1
9917,LINK,2,100,3,1.000022410504,3_(12-20),63267.827449406686,2801313,1
9912,LINK,20,2,15,5.000035078133333,15_(85-86),63269.10002202894,2630860,1
9927,LINK,83,70,14,5.000058506106667,M.USER.APP.14,63270,4387958,2
9926,LINK,2,100,7,1.000033339616,M.USER.APP.7,63272.00005556603,4167452,2
9912,LINK,2,100,15,1.00002104688,15_(85-86),63274.100057107076,2630860,1
9928,LINK,55,2,13,5.00002695276,M.USER.APP.13,63275,2021457,2
9927,LINK,70,2,14,5.000058506106667,M.USER.APP.14,63275.000058506106,4387958,2
9920,LINK,7,17,3,5.000057133226667,3_(12-13),63278.654602228016,4284992,2
9920,LINK,7,2,3,5.000034690933333,3_(12-14),63278.654602228016,2601820,3
9920,LINK,7,2,3,5.000038559786667,3_(12-15),63278.654602228016,2891984,4
9920,LINK,7,2,3,5.000022498733333,3_(12-16),63278.654602228016,1687405,5
9920,LINK,7,2,3,5.00003735084,3_(12-20),63278.654602228016,2801313,6
9928,LINK,2,100,13,1.000016171656,M.USER.APP.13,63280.00002695276,2021457,6
9927,LINK,2,100,14,1.000035103664,M.USER.APP.14,63280.00011701221,4387958,6
9920,LINK,2,100,3,1.00002081456,3_(12-14),63283.65463691895,2601820,4
9912,LINK,20,2,15,5.0000341760666664,15_(82-84),63287.50470952895,2563205,3
9920,LINK,2,100,3,1.000023135872,3_(12-15),63288.65467547874,2891984,3
9930,LINK,96,4,12,5.0000396870933335,M.USER.APP.12,63292,2976532,3
9931,LINK,58,12,12,5.0000396870933335,M.USER.APP.12,63292,2976532,4
9912,LINK,2,100,15,1.00002050564,15_(82-84),63292.504743705016,2563205,4
9920,LINK,2,100,3,1.00001349924,3_(12-16),63293.65469797747,1687405,3
9930,LINK,4,2,12,5.0000396870933335,M.USER.APP.12,63297.0000396871,2976532,1
9920,LINK,2,100,3,1.000022410504,3_(12-20),63298.65473532831,2801313,1
9932,LINK,98,2,6,5.00003632972,M.USER.APP.6,63299,2724729,2
9933,LINK,52,5,18,5.00003226232,M.USER.APP.18,63299,2419674,3
9930,LINK,2,100,12,1.000023812256,M.USER.APP.12,63302.00007937419,2976532,2
9933,LINK,5,2,18,5.00003226232,M.USER.APP.18,63304.00003226232,2419674,1
9932,LINK,2,100,6,1.000021797832,M.USER.APP.6,63304.00003632972,2724729,1
9933,LINK,2,100,18,1.000019357392,M.USER.APP.18,63309.00006452463,2419674,0
9934,LINK,33,1,1,5.000036175413333,M.USER.APP.1,63322,2713156,0
9934,LINK,1,2,1,5.000036175413333,M.USER.APP.1,63327.000036175414,2713156,0
9934,LINK,2,100,1,1.000021705248,M.USER.APP.1,63332.00007235083,2713156,0
9936,LINK,98,2,14,5.000058506106667,M.USER.APP.14,63335,4387958,0
9936,LINK,2,100,14,1.000035103664,M.USER.APP.14,63340.000058506106,4387958,0
9937,LINK,55,2,7,5.000055566026667,M.USER.APP.7,63341,4167452,1
9939,LINK,93,34,15,5.000022028946667,M.USER.APP.15,63345,1652171,1
9937,LINK,2,100,7,1.000033339616,M.USER.APP.7,63346.00005556603,4167452,1
9940,LINK,67,19,11,5.000021404866667,M.USER.APP.11,63348,1605365,1
9940,LINK,19,2,11,5.000021404866667,M.USER.APP.11,63353.00002140486,1605365,0
9940,LINK,2,100,11,1.00001284292,M.USER.APP.11,63358.00004280973,1605365,0
9941,LINK,33,1,1,5.000036175413333,M.USER.APP.1,63371,2713156,0
9942,LINK,93,34,1,5.000036175413333,M.USER.APP.1,63374,2713156,1
9941,LINK,1,2,1,5.000036175413333,M.USER.APP.1,63376.000036175414,2713156,1
9943,LINK,20,2,0,5.00004439524,M.USER.APP.0,63377,3329643,2
9942,LINK,34,12,1,5.000036175413333,M.USER.APP.1,63379.000036175414,2713156,2
9941,LINK,2,100,1,1.000021705248,M.USER.APP.1,63381.00007235083,2713156,2
9938,LINK,67,19,13,5.000032906533334,13_(68-69),63381.277372262775,2467990,3
9943,LINK,2,100,0,1.000026637144,M.USER.APP.0,63382.00004439524,3329643,3
9942,LINK,12,2,1,5.000036175413333,M.USER.APP.1,63384.00007235083,2713156,1
9938,LINK,19,2,13,5.000032906533334,13_(68-69),63386.27740516931,2467990,1
9942,LINK,2,100,1,1.000021705248,M.USER.APP.1,63389.00010852624,2713156,1
9938,LINK,2,100,13,1.00001974392,13_(68-69),63391.27743807585,2467990,0
9935,LINK,52,5,14,5.000029359893333,14_(76-79),63391.688153310104,2201992,1
9935,LINK,5,2,14,5.000029359893333,14_(76-79),63396.68818267,2201992,0
9935,LINK,2,100,14,1.000017615936,14_(76-79),63401.68821202989,2201992,0
9947,LINK,64,3,7,5.000055566026667,M.USER.APP.7,63444,4167452,0
9947,LINK,3,2,7,5.000055566026667,M.USER.APP.7,63449.00005556603,4167452,0
9947,LINK,2,100,7,1.000033339616,M.USER.APP.7,63454.00011113206,4167452,0
9949,LINK,16,5,9,5.000026470466667,M.USER.APP.9,63461,1985285,0
9949,LINK,5,2,9,5.000026470466667,M.USER.APP.9,63466.000026470465,1985285,0
9949,LINK,2,100,9,1.00001588228,M.USER.APP.9,63471.00005294093,1985285,0
9952,LINK,55,2,12,5.0000396870933335,M.USER.APP.12,63478,2976532,0
9939,LINK,34,12,15,5.0000341760666664,15_(82-84),63480.777799806725,2563205,1
9954,LINK,38,7,10,5.000034898733333,M.USER.APP.10,63481,2617405,2
9955,LINK,52,5,7,5.000055566026667,M.USER.APP.7,63482,4167452,3
9952,LINK,2,100,12,1.000023812256,M.USER.APP.12,63483.0000396871,2976532,3
9944,LINK,77,57,14,5.00003639164,14_(76-80),63483.34770889488,2729373,4
9944,LINK,77,57,14,5.000029359893333,14_(76-79),63483.34770889488,2201992,5
9939,LINK,12,2,15,5.0000341760666664,15_(82-84),63485.77783398279,2563205,4
9954,LINK,7,2,10,5.000034898733333,M.USER.APP.10,63486.00003489873,2617405,4
9955,LINK,5,2,7,5.000055566026667,M.USER.APP.7,63487.00005556603,4167452,4
9944,LINK,57,2,14,5.00003639164,14_(76-80),63488.34774528652,2729373,4
9939,LINK,2,100,15,1.00002050564,15_(82-84),63490.77786815886,2563205,4
9954,LINK,2,100,10,1.00002093924,M.USER.APP.10,63491.00006979746,2617405,4
9955,LINK,2,100,7,1.000033339616,M.USER.APP.7,63492.00011113206,4167452,3
9944,LINK,57,2,14,5.000029359893333,14_(76-79),63493.34777464641,2201992,2
9944,LINK,2,100,14,1.000021834984,14_(76-80),63493.34778167816,2729373,2
9956,LINK,55,2,4,5.000039555493333,M.USER.APP.4,63494,2966662,2
9957,LINK,20,2,0,5.00004439524,M.USER.APP.0,63494,3329643,3
9958,LINK,33,1,1,5.000036175413333,M.USER.APP.1,63495,2713156,3
9944,LINK,2,100,14,1.000017615936,14_(76-79),63498.34781103805,2201992,3
9956,LINK,2,100,4,1.000023733296,M.USER.APP.4,63499.000039555496,2966662,3
9957,LINK,2,100,0,1.000026637144,M.USER.APP.0,63499.00004439524,3329643,3
9948,LINK,61,16,16,5.0000242222,16_(87-88),63499.710743801654,1816665,3
9958,LINK,1,2,1,5.000036175413333,M.USER.APP.1,63500.000036175414,2713156,3
9959,LINK,71,2,10,5.000034898733333,M.USER.APP.10,63504,2617405,2
9948,LINK,16,5,16,5.0000242222,16_(87-88),63504.710768023855,1816665,2
9958,LINK,2,100,1,1.000021705248,M.USER.APP.1,63505.00007235083,2713156,2
9959,LINK,2,100,10,1.00002093924,M.USER.APP.10,63509.00003489873,2617405,1
9948,LINK,5,2,16,5.0000242222,16_(87-88),63509.71079224606,1816665,1
9948,LINK,2,100,16,1.00001453332,16_(87-88),63514.71081646826,1816665,0
9960,LINK,98,2,6,5.00003632972,M.USER.APP.6,63520,2724729,0
9961,LINK,52,5,18,5.00003226232,M.USER.APP.18,63520,2419674,1
9961,LINK,5,2,18,5.00003226232,M.USER.APP.18,63525.00003226232,2419674,1
9960,LINK,2,100,6,1.000021797832,M.USER.APP.6,63525.00003632972,2724729,1
9962,LINK,61,37,13,5.00002695276,M.USER.APP.13,63526,2021457,2
9961,LINK,2,100,18,1.000019357392,M.USER.APP.18,63530.00006452463,2419674,1
9962,LINK,37,15,13,5.00002695276,M.USER.APP.13,63531.00002695276,2021457,1
9964,LINK,81,2,14,5.000058506106667,M.USER.APP.14,63554,4387958,0
9964,LINK,2,100,14,1.000035103664,M.USER.APP.14,63559.000058506106,4387958,0
9965,LINK,64,3,14,5.000058506106667,M.USER.APP.14,63561,4387958,0
9966,LINK,88,28,11,5.000021404866667,M.USER.APP.11,63563,1605365,1
9965,LINK,3,2,14,5.000058506106667,M.USER.APP.14,63566.000058506106,4387958,1
9968,LINK,52,5,7,5.000055566026667,M.USER.APP.7,63567,4167452,2
9966,LINK,28,0,11,5.000021404866667,M.USER.APP.11,63568.00002140486,1605365,2
9965,LINK,2,100,14,1.000035103664,M.USER.APP.14,63571.00011701221,4387958,2
9971,LINK,58,12,12,5.0000396870933335,M.USER.APP.12,63572,2976532,3
9972,LINK,88,28,11,5.000021404866667,M.USER.APP.11,63572,1605365,4
9968,LINK,5,2,7,5.000055566026667,M.USER.APP.7,63572.00005556603,4167452,4
9966,LINK,0,2,11,5.000021404866667,M.USER.APP.11,63573.00004280973,1605365,3
9972,LINK,28,0,11,5.000021404866667,M.USER.APP.11,63577.00002140486,1605365,3
9968,LINK,2,100,7,1.000033339616,M.USER.APP.7,63577.00011113206,4167452,2
9966,LINK,2,100,11,1.00001284292,M.USER.APP.11,63578.00006421459,1605365,2
9974,LINK,20,2,0,5.00004439524,M.USER.APP.0,63581,3329643,1
