id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
85,LINK,3,12,0,2.00001,M.USER.APP.0,980.0000085714285,20,9,"[1, 0, 3, 12, 37, 113]",0.0
87,LINK,35,106,2,7.000004285714286,M.USER.APP.2,981.000021,30,9,"[3, 11, 35, 106]",0.0
85,LINK,12,37,0,3.0000066666666667,M.USER.APP.0,982.0000185714284,20,9,"[1, 0, 3, 12, 37, 113]",0.0
86,LINK,4,13,1,8.0000025,M.USER.APP.1,983.0000137142856,20,9,"[2, 0, 1, 4, 13, 42]",0.9999996428572331
80,LINK,13,42,1,8.0000025,M.USER.APP.1,984.0000133571428,20,9,"[2, 0, 1, 4, 13, 42]",0.0
85,LINK,37,113,0,8.0000025,M.USER.APP.0,985.0000252380951,20,9,"[1, 0, 3, 12, 37, 113]",0.9999996428572331
81,LINK,35,11,2,2.000045,2_(0-6),986.5000365714284,90,8,"[35, 11]",0.0
79,LINK,113,37,0,8.00000375,0_(0-3),986.6000248809522,30,9,"[113, 37, 12, 3]",0.0
82,LINK,0,2,3,5.000004,M.USER.APP.3,987.0000114285713,20,8,"[4, 1, 0, 2, 9, 30, 91]",0.0
83,LINK,3,10,4,2.00001,M.USER.APP.4,987.0000114285713,20,9,"[5, 1, 0, 3, 10, 31, 94]",0.0
83,LINK,10,31,4,5.000004,M.USER.APP.4,989.0000214285712,20,7,"[5, 1, 0, 3, 10, 31, 94]",0.0
87,LINK,106,35,2,7.000014285714285,2_(0-5),989.2000252857141,100,8,"[106, 35]",0.0
82,LINK,2,9,3,7.000002857142857,M.USER.APP.3,992.0000154285713,20,8,"[4, 1, 0, 2, 9, 30, 91]",0.0
86,LINK,13,42,1,8.0000025,M.USER.APP.1,992.0000158571429,20,7,"[2, 0, 1, 4, 13, 42]",0.0
89,LINK,0,3,4,7.000002857142857,M.USER.APP.4,994.0000142857141,20,7,"[5, 1, 0, 3, 10, 31, 94]",0.0
83,LINK,31,94,4,5.000004,M.USER.APP.4,994.0000254285712,20,7,"[5, 1, 0, 3, 10, 31, 94]",0.0
85,LINK,113,37,0,8.00000375,0_(0-3),994.6000273809523,30,7,"[113, 37, 12, 3]",1.249999968422344e-06
79,LINK,37,12,0,3.00001,0_(0-3),994.6000286309522,30,7,"[113, 37, 12, 3]",0.0
87,LINK,35,11,2,2.000045,2_(0-6),996.5000395714284,90,7,"[35, 11]",0.0
79,LINK,12,3,0,2.000015,0_(0-3),997.6000386309522,30,7,"[113, 37, 12, 3]",0.0
82,LINK,9,30,3,5.000004,M.USER.APP.3,999.0000182857141,20,6,"[4, 1, 0, 2, 9, 30, 91]",0.0
83,LINK,94,31,4,5.000006,4_(0-4),999.9000294285711,30,5,"[94, 31]",0.0
