id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
102,LINK,34,103,9,9.000002444444444,M.USER.APP.9,1792.0000214761906,22,5,"[10, 3, 11, 34, 103]",0.0
101,LINK,10,31,8,9.00000111111111,M.USER.APP.8,1793.000026111111,10,5,"[9, 2, 0, 3, 10, 31]",0.0
96,LINK,0,2,3,9.000002222222221,M.USER.APP.3,1797.0000081142857,20,5,"[4, 1, 0, 2, 9, 28]",3.99999733333334
99,LINK,0,1,6,5.0000044,M.USER.APP.6,1799.0000135555554,22,5,"[7, 2, 0, 1, 5, 17]",0.0
98,LINK,2,7,5,6.000002,M.USER.APP.5,1801.000005447619,12,5,"[6, 1, 0, 2, 7, 23, 72]",0.0
97,LINK,0,3,4,1.00002,M.USER.APP.4,1802.0000121142857,20,4,"[5, 1, 0, 3, 10, 33, 101]",0.0
97,LINK,3,10,4,2.00001,M.USER.APP.4,1803.0000321142857,20,3,"[5, 1, 0, 3, 10, 33, 101]",0.0
99,LINK,1,5,6,10.0000022,M.USER.APP.6,1804.0000179555554,22,3,"[7, 2, 0, 1, 5, 17]",0.0
97,LINK,10,33,4,3.0000066666666667,M.USER.APP.4,1805.0000421142856,20,3,"[5, 1, 0, 3, 10, 33, 101]",0.0
98,LINK,7,23,5,10.0000012,M.USER.APP.5,1807.000007447619,12,3,"[6, 1, 0, 2, 7, 23, 72]",0.0
97,LINK,33,101,4,9.000002222222221,M.USER.APP.4,1808.0000487809523,20,3,"[5, 1, 0, 3, 10, 33, 101]",0.0
96,LINK,2,9,3,1.00002,M.USER.APP.3,1810.0000076698414,20,3,"[4, 1, 0, 2, 9, 28]",0.0
96,LINK,9,28,3,1.00002,M.USER.APP.3,1811.0000276698413,20,3,"[4, 1, 0, 2, 9, 28]",0.0
96,LINK,28,9,3,1.00002,3_(0-2),1812.3000476698412,20,3,"[28, 9]",0.0
99,LINK,5,17,6,1.000022,M.USER.APP.6,1814.0000201555554,22,2,"[7, 2, 0, 1, 5, 17]",0.0
98,LINK,23,72,5,3.000004,M.USER.APP.5,1817.000008647619,12,1,"[6, 1, 0, 2, 7, 23, 72]",0.0
103,LINK,1,0,0,5.000004,M.USER.APP.0,1895,20,0,"[1, 0, 2, 9, 28]",0.0
104,LINK,2,0,1,9.000002222222221,M.USER.APP.1,1895,20,1,"[2, 0, 3, 10, 32]",0.0
103,LINK,0,2,0,9.000002222222221,M.USER.APP.0,1900.000004,20,1,"[1, 0, 2, 9, 28]",0.0
104,LINK,0,3,1,1.00002,M.USER.APP.1,1904.0000022222223,20,1,"[2, 0, 3, 10, 32]",0.0
104,LINK,3,10,1,2.00001,M.USER.APP.1,1905.0000222222222,20,1,"[2, 0, 3, 10, 32]",0.0
104,LINK,10,32,1,6.000003333333333,M.USER.APP.1,1907.0000322222222,20,1,"[2, 0, 3, 10, 32]",0.0
